# Dump Cloned {
Points:
100130.054688 95041.34375 0
100217.320312 95042.078125 0
100173.773438 95031.515625 0
100261.203125 95033.015625 0
100304.898438 95034.3359375 0
100348.585938 95036.0390625 0
102482.90625 97885.4375 0
102479.34375 97926.1171875 0
102482.742188 97959.9375 0
102478.179688 98000.2265625 0
102480.695312 98033.7734375 0
102475.148438 98073.640625 0
102484.523438 98100.53125 0
102524.671875 98102.2421875 0
102572.804688 98098.2890625 0
102613.296875 98101.1875 0
102630.132812 98122.921875 0
102638.796875 98150.8125 0
102639.125 98184.671875 0
102639.054688 98218.3828125 0
102638.59375 98251.953125 0
102637.734375 98285.375 0
102636.476562 98318.640625 0
102634.84375 98351.7578125 0
102632.8125 98384.703125 0
102638.789062 98412.046875 0
102644.484375 98439.359375 0
102641.40625 98471.953125 0
102646.484375 98499.140625 0
102651.273438 98526.296875 0
102647.171875 98558.5 0
102651.359375 98585.5078125 0
102637.859375 98622.3359375 0
102641.40625 98649.109375 0
102644.671875 98675.8359375 0
102638.835938 98707.21875 0
102641.515625 98733.765625 0
102643.921875 98760.2578125 0
102646.054688 98786.6953125 0
102638.9375 98817.4609375 0
102631.46875 98848 0
102641.789062 98869.859375 0
102633.71875 98900.109375 0
102634.453125 98926.0546875 0
102644.085938 98947.9375 0
102653.53125 98969.90625 0
102653.554688 98995.78125 0
102653.304688 99021.578125 0
102652.804688 99047.2890625 0
102652.054688 99072.9140625 0
102651.039062 99098.453125 0
102649.78125 99123.8984375 0
102648.265625 99149.25 0
102646.5 99174.5 0
102653.96875 99196.4765625 0
102651.734375 99221.6171875 0
102649.257812 99246.6484375 0
102656.09375 99268.6484375 0
102653.15625 99293.546875 0
102649.96875 99318.34375 0
102646.546875 99343.0234375 0
102652.546875 99364.9921875 0
102648.671875 99389.5234375 0
102644.5625 99413.9375 0
102649.945312 99435.890625 0
102645.390625 99460.140625 0
102650.367188 99482.09375 0
102645.367188 99506.1796875 0
102649.945312 99528.1328125 0
102644.507812 99552.0390625 0
102648.679688 99573.9921875 0
102632.96875 99599.453125 0
102636.734375 99621.296875 0
102640.304688 99643.171875 0
102643.679688 99665.078125 0
102627.0625 99689.8046875 0
102630.039062 99711.59375 0
102652.671875 99730.9609375 0
102655.28125 99752.9765625 0
102657.703125 99775.0078125 0
102659.929688 99797.0625 0
102642.039062 99820.8828125 0
102643.867188 99842.796875 0
102645.507812 99864.7265625 0
102646.953125 99886.671875 0
102648.203125 99908.625 0
102489.421875 99937.625 0
102480.242188 99958.5546875 0
102480.875 99979.0546875 0
102481.335938 99999.5546875 0
102481.609375 100020.0625 0
102481.703125 100040.570312 0
102481.625 100061.078125 0
102481.359375 100081.578125 0
102490.914062 100102.34375 0
102490.296875 100122.929688 0
102479.5 100143.070312 0
102488.507812 100164.078125 0
102487.351562 100184.640625 0
102486.007812 100205.1875 0
102484.492188 100225.726562 0
102492.75 100247.125 0
102490.867188 100267.71875 0
102488.804688 100288.296875 0
102496.492188 100309.984375 0
102494.0625 100330.609375 0
102491.445312 100351.21875 0
102488.648438 100371.796875 0
102485.679688 100392.351562 0
102482.523438 100412.882812 0
102479.195312 100433.382812 0
102485.53125 100455.585938 0
102481.828125 100476.109375 0
102477.945312 100496.601562 0
102473.882812 100517.0625 0
102479.421875 100539.554688 0
102474.984375 100560.023438 0
102480.117188 100582.703125 0
102475.304688 100603.171875 0
102480.015625 100626.015625 0
102474.820312 100646.492188 0
102479.109375 100669.5 0
102483.179688 100692.625 0
102477.40625 100713.125 0
102481.039062 100736.40625 0
102474.882812 100756.882812 0
102478.09375 100780.304688 0
102490.578125 100806.929688 0
102483.804688 100827.484375 0
102476.859375 100847.976562 0
102488.585938 100875.078125 0
102481.21875 100895.617188 0
102473.671875 100916.085938 0
102484.625 100943.65625 0
102476.664062 100964.148438 0
102468.515625 100984.578125 0
102478.679688 101012.585938 0
102470.109375 101033.03125 0
102479.710938 101061.367188 0
102479.859375 101085.882812 0
102479.757812 101110.476562 0
102434.078125 101114.03125 0
102442.6875 101142.6875 0
102441.976562 101167.195312 0
102449.960938 101196.226562 0
102448.710938 101220.953125 0
102447.203125 101245.742188 0
102445.429688 101270.59375 0
102443.40625 101295.507812 0
102449.867188 101325.320312 0
102447.28125 101350.421875 0
102444.429688 101375.578125 0
102449.9375 101405.859375 0
102446.515625 101431.179688 0
102451.351562 101461.773438 0
102447.351562 101487.257812 0
102443.078125 101512.78125 0
102430.15625 101532.898438 0
102442.070312 101569.445312 0
102428.648438 101589.546875 0
102439.78125 101626.515625 0
102434.054688 101652.335938 0
102436.195312 101683.96875 0
102437.953125 101715.765625 0
102431.296875 101741.773438 0
106308.101562 104950.945312 0
106327.210938 105054.984375 0
106679.484375 105830.484375 0
105274.703125 104834.09375 0
105189.140625 104837.507812 0
105096.726562 104832.851562 0
104990.515625 104812.929688 0
104899.171875 104805.671875 0
104815.34375 104804.3125 0
104738.859375 104809.046875 0
104655.765625 104805.5625 0
104579.90625 104808.304688 0
104497.585938 104802.710938 0
104435.789062 104818.34375 0
104354.164062 104810.796875 0
104279.570312 104809.742188 0
104211.8125 104815.34375 0
104163.5625 104843.109375 0
104089.695312 104839.539062 0
104016.1875 104835.054688 0
103943.070312 104829.648438 0
103876.507812 104831.210938 0
103810.203125 104831.984375 0
103750.195312 104839.945312 0
103678.429688 104831.15625 0
102934.625 104193.898438 0
102887.242188 104201.523438 0
102834.484375 104200.257812 0
102787.335938 104206.820312 0
102734.976562 104204.398438 0
102682.867188 104201.382812 0
102636.164062 104206.351562 0
102584.484375 104202.203125 0
102533.070312 104197.46875 0
102491.789062 104209.570312 0
102479.578125 104273.726562 0
102480.75 104364.351562 0
102485.210938 104464.132812 0
102483.492188 104555.453125 0
102484.898438 104655.976562 0
102489.1875 104765.820312 0
102478.570312 104849.117188 0
102427.914062 104851.367188 0
102377.390625 104853.09375 0
102322.867188 104845.21875 0
102276.789062 104855.015625 0
102226.726562 104855.21875 0
102172.90625 104845.703125 0
102123.242188 104844.859375 0
102073.75 104843.515625 0
102028.101562 104850.976562 0
101957.359375 104792.664062 0
101915.828125 104808.414062 0
101874.164062 104823.804688 0
101829.023438 104829.398438 0
101816.5 104929.117188 0
101830.953125 105114.3125 0
101814.460938 105214.53125 0
101793.335938 105305.3125 0
101732.703125 105271.804688 0
101678.46875 105256.8125 0
101630.132812 105260.5 0
101584.53125 105273.375 0
101533.632812 105266.539062 0
101485.476562 105268.890625 0
101437.382812 105270.804688 0
101387.023438 105262.554688 0
101339.164062 105263.570312 0
101291.375 105264.140625 0
101243.671875 105264.28125 0
101196.054688 105263.992188 0
101148.53125 105263.265625 0
101101.09375 105262.109375 0
101050.28125 105240.820312 0
101004.867188 105248.640625 0
100960.960938 105265.9375 0
100913.859375 105263.085938 0
100868.257812 105269.710938 0
100821.296875 105266.03125 0
100775.679688 105271.84375 0
100730.007812 105277.265625 0
100684.296875 105282.289062 0
100636.617188 105267.007812 0
100590.992188 105271.210938 0
100545.335938 105275.023438 0
100498.953125 105268.453125 0
100452.710938 105261.484375 0
100406.617188 105254.09375 0
